name,description,hex
Абрикос,Серебристо-светло оранжевый,#cc6633
Авантюрин,Серебристо-чёрный,#00111b
Айсберг,Белая двухслойная,#edf5f6
Акапулько,Ярко-жёлтый,#ffff33
Аквамарин,Серебристый сине-зелёный,#0a7679
Аккорд,Серебристо-коричневый,#665739
Аллигатор,Оливково-зелёный,#336600
Алмазное серебро,(ИЖ) Серебристый,#eeeeee
Альпийский снег,Белый металлик,#ffffff
Альтаир,Серебристый светло-серый,#858585
Амазонка,Ярко-зелёный,#008060
Аметист,Серебристый фиолетовый,#32011f
Амулет,Серебристо-тёмно-зелёный,#002200
Андриатика,Голубой,#3a5e74
Антарес,Тёмно-вишнёвый,#2f0000
Антилопа,Серебристо-бежевый,#efcd94
Апатия,Серебристый оранжевый,#d3671f
Аспарагус,Серебристо-зелёный,#ece8b7
Астероид,Тёмно-сине-зелёный,#000000
Атлантика,Светло-синий,#486c95
Аустер,(GM) Светло-серый,#cccccc
Афалина,Серебристо-зелёно-голубой,#72b8b8
Аэлита,Бежевый,#EEE4AC
Базальт,Серо-чёрный,#000000
Баклажан,Тёмно-фиолетовый,#300e1d
Балтика,Тёмно-сине-зелёный,#093e5e
Бальзам,Зелёный,#078d51
Бархан,Бежевый,#dcddcd
Бежевый,Бежевый,#eaebde
Белое облако,Белый,#F8F9FA
Белый,Белый,#f8eff0
Бергамот,Серебристо-зелёный,#00974b
Борнео,Серебристо-тёмно серый,#3F434D
Боровница,Серебристо-серо-синий,#516371
Бриз,Зелёно-голубой,#84bdb4
Бронзовый век,Бежево-коричневый,#796745
Бургундия,Красный металлик,#561919
Вавилон,Металлик серо-бежевый,#fbf1d0
Валентина,Серо-фиолетовый,#12294b
Валюта,Серо-зелёный,#707561
Венера,Тёмно-красный,#5a0107
Викинг,Тёмно-серый,#373737
Виктория,Серебристый ярко-красный,#ae0000
Вишнёвый сад,Тёмно-серебристо-красный,#640032
Вишня,Тёмно-бордовый,#800040
Водолей,Серо-зелёный,#448486
Галактика,Тёмно-фиолетовый,#27004f
Гейзер,Серо-голубой,#bac7c2
Голубой,Голубой,#b3faff
Гранат,Тёмно-бордовый,#800000
Гранта,Серо-синий,#031E36
Дефиле,Серебристо-серо-коричневый,#773c3c
Джем,Оранжево-коричневый,#c86829
Дипломат,Синий,#003B62
Дыня,Серебристо-жёлтый,#f9f8bb
Дюшес,Серебристо-молочно-зелёный,#66cccc
Жасмин,Бело-жёлтый,#f3f3cf
Жёлтый-такси,Ярко-жёлтый,#ffc100
Жемчуг,Серебристо-бело-молочный,#c0c0c0
Жимолость,Серо-синий,#4b4d64
Защитный,Зелёный,#669966
Звёздная Пыль,Бежево-сиреневый,#d3cdb6
Зелёный сад,Тёмно-зелёный,#003c00
Зелёный,Зелёный,#009933
Зелёный Авокадо,(ИЖ) Тёмно-зелёный,#003c00
Золотая звезда,(GM) Бежево-золотистый,#e9d28a
Золотой лист,Золотистый тёмно-зелёный,#353313
Золотая Нива,Серебристо-жёлто-зелёный,#a6a600
Золотисто-бежевый,(ИЖ) Золотисто-бежевый,#d3cdb9
Золото Инков,Золотистый тёмно-зелёный,#2c3c26
Игуана,Серебристо-ярко-зелёный,#1e9324
Изабелла,Тёмно-филетовый,#522d64
Изумруд,Серебристо-зелёный,#366d6d
Индиго,Тёмно-синий,#000642
Ирис,Фиолетовый,#200f33
Искра,Красный,#4a0001
Каберне,Тёмно-вишнёвый,#510724
Кайман,Тёмно-зелёный,#006600
Калина,Ярко-красный,#c50707
Калифорнийский Мак,Золотисто-красный,#970100
Капри,Тёмно-сине-зелёный,#003955
Капучино,Светлый серо-бежевый,#d0aa9b
Кардинал,Ярко-красный,#b90000
Кармен,Красный,#b90000
Кварц,Тёмно-серый,#808080
Кедр,Серо-зелёный,#384f2f
Кентавр,Тёмно-зелёный,#2c3c26
Колумбийская зелень,Золотисто-оливковый,#6D7148
Коралл,Серебристый тёмно-красный,#7e013d
Кориандр,Золотисто-коричневый,#8A6749
Корица,Коричневый,#200204
Корсика,Серебристый болотно-зелёный,#373b2c
Космос,Чёрный,#101419
Красный перец,(ИЖ) Серебристо-вишнёвый,#880f24
Красный Порту,(ИЖ) Вишнёвый,#640032
Кристалл,Светло-серый,#bebebe
Кубок,Красный,#bf311a
Ла-манш,Серебристо-фиолетовый,#331159
Лаванда,Серебристо-коричневый,#886542
Лагуна,Серебристо-синий,#002e3b
Ладога,Серебристо-голубой,#e1ecfd
Лазурит,Фиолетово-синий,#0b083f
Лазурно-синий,Серебристый тёмно-синий,#001522
Лазурь,Синий,#0067ce
Ламинария,Зелёный,#00a653
Ледниковый,Белый,#DFE7E8
Ледяной,Голубой,#e5eaff
Лунный Свет,Светло-голубой,#bdd0e4
Магеллан,Тёмно-синий,#103661
Магия,Серебристо-ярко-фиолетовый,#580062
Магма,Оранжевый,#D35F11
Майя,Серебристый тёмно-бордовый,#2e0203
Мальборо,Красный металлик,#ff0000
Медео,Голубой,#0d3e8b
Медовый,Желто-золотой,#f4bf06
Меридиан,Зелёный,#006c6c
Мерцающий синий,(ИЖ) Серебристо-тёмно-синий,#004f95
Миндаль,Серебристо-бежево-розовый,#e8d2de
Мираж,Серебристый-желто-зелёный,#cfcfc7
Млечный Путь,Серебристо-серо-графитовый,#373737
Мокрый асфальт,Серебристый стальной,#606060
Монте-карло,Ярко-синий,#3d4274
